undrr_2025_key,undrr_key,label,cluster_label,family_label,glide_code,emdat_key
MH0101,MH0001,Downburst,Convective-Related,Meteorological & Hydrological,OT,
MH0102,MH0002,Lightning (electrical storm),Convective-Related,Meteorological & Hydrological,ST,nat-met-sto-lig
MH0103,MH0003,Thunderstorm,Convective-Related,Meteorological & Hydrological,ST,nat-met-sto-sto
MH0103,MH0003,Thunderstorm,Convective-Related,Meteorological & Hydrological,ST,nat-met-sto-sev
MH0201,MH0015,Dust Storm or Sandstorm,Particle-related,Meteorological & Hydrological,VW,nat-met-sto-san
MH0202,MH0016,Fog,Particle-related,Meteorological & Hydrological,OT,nat-met-fog-fog
MH0203,MH0017,Haze,Particle-related,Meteorological & Hydrological,OT,
MH0204,MH0019,Sand Haze,Particle-related,Meteorological & Hydrological,OT,
MH0205,MH0020,Smoke,Particle-related,Meteorological & Hydrological,OT,
MH0301,MH0060,Wind,Wind & Pressure-related,Meteorological & Hydrological,VW,nat-met-sto-sto
MH0302,MH0053,Derecho,Wind & Pressure-related,Meteorological & Hydrological,VW,nat-met-sto-der
MH0303,MH0054,Gale,Wind & Pressure-related,Meteorological & Hydrological,OT,
MH0304,MH0055,Squall,Wind & Pressure-related,Meteorological & Hydrological,OT,
MH0305,MH0059,Tornado,Wind & Pressure-related,Meteorological & Hydrological,TO,nat-met-sto-tor
MH0306,MH0030,Depression or Cyclone,Wind & Pressure-related,Meteorological & Hydrological,TC,nat-met-sto-tro
MH0307,MH0031,Extra-tropical Cyclone,Wind & Pressure-related,Meteorological & Hydrological,EC,nat-met-sto-ext
MH0308,MH0032,Sub-tropical Cyclone,Wind & Pressure-related,Meteorological & Hydrological,TC,nat-met-sto-tro
MH0309,MH0057,Tropical Cyclone,Wind & Pressure-related,Meteorological & Hydrological,TC,nat-met-sto-tro
MH0401,MH0035,Drought,Precipitation-related,Meteorological & Hydrological,DR,nat-cli-dro-dro
MH0402,,Rain,Precipitation-related,Meteorological & Hydrological,OT,
MH0403,MH0034,Blizzard,Precipitation-related,Meteorological & Hydrological,OT,nat-met-sto-bli
